eventID,measurementValue,measurementType,measurementTypeID,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID
IYS2022-TINRO-3-1-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-1-Trawl-Research Vessel,NA
IYS2022-TINRO-3-2-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-2-Trawl-Research Vessel,NA
IYS2022-TINRO-3-3-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-3-Trawl-Research Vessel,NA
IYS2022-TINRO-3-4-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-4-Trawl-Research Vessel,NA
IYS2022-TINRO-3-5-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-5-Trawl-Research Vessel,NA
IYS2022-TINRO-3-6-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-6-Trawl-Research Vessel,NA
IYS2022-TINRO-3-7-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-7-Trawl-Research Vessel,NA
IYS2022-TINRO-3-8-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-8-Trawl-Research Vessel,NA
IYS2022-TINRO-3-9-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-9-Trawl-Research Vessel,NA
IYS2022-TINRO-3-10-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-10-Trawl-Research Vessel,NA
IYS2022-TINRO-3-11-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-11-Trawl-Research Vessel,NA
IYS2022-TINRO-3-12-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-12-Trawl-Research Vessel,NA
IYS2022-TINRO-3-13-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-13-Trawl-Research Vessel,NA
IYS2022-TINRO-3-14-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-14-Trawl-Research Vessel,NA
IYS2022-TINRO-3-15-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-15-Trawl-Research Vessel,NA
IYS2022-TINRO-3-16-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-16-Trawl-Research Vessel,NA
IYS2022-TINRO-3-17-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-17-Trawl-Research Vessel,NA
IYS2022-TINRO-3-18-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-18-Trawl-Research Vessel,NA
IYS2022-TINRO-3-19-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-19-Trawl-Research Vessel,NA
IYS2022-TINRO-3-20-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-20-Trawl-Research Vessel,NA
IYS2022-TINRO-3-21-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-21-Trawl-Research Vessel,NA
IYS2022-TINRO-3-22-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-22-Trawl-Research Vessel,NA
IYS2022-TINRO-3-23-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-23-Trawl-Research Vessel,NA
IYS2022-TINRO-3-24-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-24-Trawl-Research Vessel,NA
IYS2022-TINRO-3-25-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-25-Trawl-Research Vessel,NA
IYS2022-TINRO-3-26-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-26-Trawl-Research Vessel,NA
IYS2022-TINRO-3-27-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-27-Trawl-Research Vessel,NA
IYS2022-TINRO-3-28-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-28-Trawl-Research Vessel,NA
IYS2022-TINRO-3-29-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-29-Trawl-Research Vessel,NA
IYS2022-TINRO-3-30-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-30-Trawl-Research Vessel,NA
IYS2022-TINRO-3-31-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-31-Trawl-Research Vessel,NA
IYS2022-TINRO-3-32-Trawl,TINRO,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,http://vocab.nerc.ac.uk/collection/C17/current/90TN/,NA,NA,IYS2022-TINRO-3-32-Trawl-Research Vessel,NA
IYS2022-TINRO-3-1-Trawl,5269,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-1-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-2-Trawl,5400,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-2-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-3-Trawl,4700,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-3-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-4-Trawl,4700,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-4-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-5-Trawl,5500,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-5-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-6-Trawl,5000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-6-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-7-Trawl,5000,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-7-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-8-Trawl,5500,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-8-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-9-Trawl,5500,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-9-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-10-Trawl,5200,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-10-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-11-Trawl,5200,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-11-Trawl-Bottom_Depth_Meters,NA
IYS2022-TINRO-3-12-Trawl,5300,Bottom_Depth_Meters,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS2022-TINRO-3-12-Trawl-Bottom_Depth_Meters,NA
