eventID,resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS2022-TINRO-3-1-Trawl,"NA:rr:001",IYS2022-TINRO-3-1-Trawl-2,is a subset of,NA
IYS2022-TINRO-3-1-Trawl,"NA:rr:002",IYS2022-TINRO-3-1-Trawl-2-1,is a subset of,NA
IYS2022-TINRO-3-1-Trawl,"NA:rr:003",IYS2022-TINRO-3-1-Trawl-3,is a subset of,NA
IYS2022-TINRO-3-1-Trawl,"NA:rr:004",IYS2022-TINRO-3-1-Trawl-3-2,is a subset of,NA
IYS2022-TINRO-3-1-Trawl,"NA:rr:005",IYS2022-TINRO-3-1-Trawl-3-3,is a subset of,NA
IYS2022-TINRO-3-1-Trawl,"NA:rr:006",IYS2022-TINRO-3-1-Trawl-213,is a subset of,NA
IYS2022-TINRO-3-1-Trawl,"NA:rr:007",IYS2022-TINRO-3-1-Trawl-213-485,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:008",IYS2022-TINRO-3-2-Trawl-5,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:009",IYS2022-TINRO-3-2-Trawl-5-531,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:010",IYS2022-TINRO-3-2-Trawl-7,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:011",IYS2022-TINRO-3-2-Trawl-7-514,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:012",IYS2022-TINRO-3-2-Trawl-7-515,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:013",IYS2022-TINRO-3-2-Trawl-7-516,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:014",IYS2022-TINRO-3-2-Trawl-7-517,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:015",IYS2022-TINRO-3-2-Trawl-7-518,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:016",IYS2022-TINRO-3-2-Trawl-7-519,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:017",IYS2022-TINRO-3-2-Trawl-7-520,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:018",IYS2022-TINRO-3-2-Trawl-7-521,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:019",IYS2022-TINRO-3-2-Trawl-7-522,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:020",IYS2022-TINRO-3-2-Trawl-7-523,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:021",IYS2022-TINRO-3-2-Trawl-7-524,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:022",IYS2022-TINRO-3-2-Trawl-7-525,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:023",IYS2022-TINRO-3-2-Trawl-8,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:024",IYS2022-TINRO-3-2-Trawl-8-526,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:025",IYS2022-TINRO-3-2-Trawl-9,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:026",IYS2022-TINRO-3-2-Trawl-9-506,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:027",IYS2022-TINRO-3-2-Trawl-9-507,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:028",IYS2022-TINRO-3-2-Trawl-9-508,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:029",IYS2022-TINRO-3-2-Trawl-9-509,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:030",IYS2022-TINRO-3-2-Trawl-9-510,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:031",IYS2022-TINRO-3-2-Trawl-9-511,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:032",IYS2022-TINRO-3-2-Trawl-9-512,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:033",IYS2022-TINRO-3-2-Trawl-9-513,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:034",IYS2022-TINRO-3-2-Trawl-10,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:035",IYS2022-TINRO-3-2-Trawl-10-17,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:036",IYS2022-TINRO-3-2-Trawl-11,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:037",IYS2022-TINRO-3-2-Trawl-11-13,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:038",IYS2022-TINRO-3-2-Trawl-11-14,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:039",IYS2022-TINRO-3-2-Trawl-11-15,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:040",IYS2022-TINRO-3-2-Trawl-11-16,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:041",IYS2022-TINRO-3-2-Trawl-11-532,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:042",IYS2022-TINRO-3-2-Trawl-12,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:043",IYS2022-TINRO-3-2-Trawl-12-4,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:044",IYS2022-TINRO-3-2-Trawl-12-5,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:045",IYS2022-TINRO-3-2-Trawl-12-6,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:046",IYS2022-TINRO-3-2-Trawl-12-7,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:047",IYS2022-TINRO-3-2-Trawl-12-8,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:048",IYS2022-TINRO-3-2-Trawl-12-9,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:049",IYS2022-TINRO-3-2-Trawl-12-10,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:050",IYS2022-TINRO-3-2-Trawl-12-11,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:051",IYS2022-TINRO-3-2-Trawl-12-12,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:052",IYS2022-TINRO-3-2-Trawl-13,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:053",IYS2022-TINRO-3-2-Trawl-13-527,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:054",IYS2022-TINRO-3-2-Trawl-13-528,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:055",IYS2022-TINRO-3-2-Trawl-13-529,is a subset of,NA
IYS2022-TINRO-3-2-Trawl,"NA:rr:056",IYS2022-TINRO-3-2-Trawl-13-530,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:057",IYS2022-TINRO-3-3-Trawl-15,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:058",IYS2022-TINRO-3-3-Trawl-15-18,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:059",IYS2022-TINRO-3-3-Trawl-16,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:060",IYS2022-TINRO-3-3-Trawl-16-19,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:061",IYS2022-TINRO-3-3-Trawl-17,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:062",IYS2022-TINRO-3-3-Trawl-17-20,is a subset of,NA
IYS2022-TINRO-3-3-Trawl,"NA:rr:063",IYS2022-TINRO-3-3-Trawl-18,is a subset of,NA
