eventID,occurrenceID,scientificName,taxonRank,Lifestage,vernacularName,identifiedBy,dateIdentified,individualCount,identificationQualifier,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,scientificNameID,specificEpithet,occurrenceStatus,sex,lifeStage
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-1,Aequorea,genus,adult,NA,Aleksey Somov,2022-03-02T00:00:00Z,NA,sp. inc.,"Péron & Lesueur, 1810",Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,urn:lsid:marinespecies.org:taxname:116998,NA,present,NA,NA
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-2,Oncorhynchus tshawytscha,species,immature,Chinook Salmon,Aleksey Somov,2022-03-02T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:158075,tshawytscha,present,NA,NA
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-2-1,Oncorhynchus tshawytscha,species,NA,Chinook Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:158075,tshawytscha,present,Female,immature
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-3,Oncorhynchus nerka,species,immature,Sockeye Salmon,Aleksey Somov,2022-03-02T00:00:00Z,2,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,NA,NA
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-3-2,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Male,immature
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-3-3,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-213,Oncorhynchus kisutch,species,immature,Coho Salmon,Aleksey Somov,2022-03-02T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,NA,NA
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-213-485,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-4,Aequorea,genus,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,NA,sp. inc.,"Péron & Lesueur, 1810",Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,urn:lsid:marinespecies.org:taxname:116998,NA,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-5,Phacellophora camtschatica,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"Brandt, 1835",Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,urn:lsid:marinespecies.org:taxname:135309,camtschatica,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-5-531,Phacellophora camtschatica,species,NA,NA,NA,NA,1,NA,"Brandt, 1835",Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,urn:lsid:marinespecies.org:taxname:135309,camtschatica,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-6,Onychoteuthis borealijaponica,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,8,NA,"Okada, 1927",Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,urn:lsid:marinespecies.org:taxname:342069,borealijaponica,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7,Boreoteuthis borealis,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,12,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-514,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-515,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
